date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-31 23:50:51,FranzFansMexico,Franz_Ferdinand,1,15,181,"Seeing you at Corona Capital was our highlight . pic.twitter.com/xFR7utqaFd",,,,1212159210529550342,https://twitter.com/FranzFansMexico/status/1212159210529550342
2019-12-31 23:35:31,XlKirby,,11,10,24,"As 2019 comes to end I want to wish you a Happy New Year to each of you! -I send you a big hug and we encourage the following people: @corona_zachary @FansToad @PropagandaToad @BabyDaisyFan1 @LucasGamerPY1 @Nice_Toad @YoshiGamerST @Kirbylight_2 @EBTheOriginal1 @Guardian_Voidpic.twitter.com/jAjHCWoknG",,@corona_zachary @FansToad @PropagandaToad @BabyDaisyFan1 @LucasGamerPY1 @Nice_Toad @YoshiGamerST @Kirbylight_2 @EBTheOriginal1 @Guardian_Voidpic,,1212155352826953728,https://twitter.com/XlKirby/status/1212155352826953728
2019-12-31 23:27:52,tangledinraps,,7,9,52,"CORONA LIKE THE CORONA?? pic.twitter.com/YBcng0Mflm",,,,1212153426227945473,https://twitter.com/tangledinraps/status/1212153426227945473
2019-12-31 19:10:56,MaterDeiGBB,,0,4,25,"Part 1 of our season is complete!! 13-1 and 3 Tournament Championships (Battle @the Beach, @iolaniclassic , & @hoop4girls Platinum Division) in our 1st 14 game!! Up Next: Non-League and League Games!! Up Next: Jan. 2nd @OLuGBB Jan. 3rd @centennialgbb Jan. 4th Corona Santiago pic.twitter.com/plHfan2FPH",,@the @iolaniclassic @hoop4girls @OLuGBB @centennialgbb,,1212088768703815681,https://twitter.com/MaterDeiGBB/status/1212088768703815681
2019-12-31 12:34:03,_Iam_femi,Olufemi_Deji,14,36,113,"Done with Revit | 3dsmax | Corona #ArchitectureTop42019pic.twitter.com/bgWepfCAhP",,,#ArchitectureTop42019pic,1211988889017159681,https://twitter.com/_Iam_femi/status/1211988889017159681
2019-12-31 11:19:49,monderrr_,,3,30,40,"NOT READY TO DIE . . . . Retweet N Stuff! #3dsmax #3d #corona #coronarenderer #design #photoshop #conceptart #render #rendering #abstractart #scifi #art #surreal #graphics #cgsociety #awesome_surreal #thegraphicspr0ject #rsa_graphics #enter_imagination @ChaosGrouppic.twitter.com/YT1QRRV4jC",,@ChaosGrouppic,#3dsmax #3d #corona #coronarenderer #design #photoshop #conceptart #render #rendering #abstractart #scifi #art #surreal #graphics #cgsociety #awesome_surreal #thegraphicspr0ject #rsa_graphics #enter_imagination,1211970208665145345,https://twitter.com/monderrr_/status/1211970208665145345
2019-12-31 10:02:58,AntarcticReport,,0,32,91,"Celebrating the best 2019 photos from #Antarctica thru the year. July: corona of aurora australis at Syowa Station #Antarctica. The antennas in the foreground measure gravity waves in the atmosphere, pic NIPRpic.twitter.com/9LU2SSqcNs",,,#Antarctica #Antarctica,1211950867605159937,https://twitter.com/AntarcticReport/status/1211950867605159937
2019-12-31 09:54:59,AngryTheInch,,5,37,265,"2018. The double rainbow with my shadow selfie. The amazing October aurora over our town. The ""spiral"" corona and last, Tellus, the guardian of the galaxy. pic.twitter.com/4dYn7hTRsk",,,,1211948859859046400,https://twitter.com/AngryTheInch/status/1211948859859046400
2019-12-31 08:54:15,AntarcticReport,,0,18,64,"Celebrating the best 2019 photos from #Antarctica thru the year. June: zenith at the South Pole, aurora with Southern Cross. When the curtain of aurora passes overhead, the perspective creates a ‘corona’ of rays, streamers of light converging at a focal point, pic @iceman_90Southpic.twitter.com/MDeMsIrsLE",,@iceman_90Southpic,#Antarctica,1211933576276533248,https://twitter.com/AntarcticReport/status/1211933576276533248
2019-12-31 06:50:22,therichreport,,5,8,36,"My CIF-SS rankings entering league play: 1. Rancho Christian 2. Sierra Canyon 3. Etiwanda 4. St. John Bosco 5. Harvard-Westlake 6. Corona Centennial 7. JSerra 8. Mater Dei 9. Windward 10. Poly/Riverside Little room for error if you want to make Open Division.",,,,1211902399511547904,https://twitter.com/therichreport/status/1211902399511547904
