date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-31 23:59:59,BrianSimsPA,MyFabDisease,2,11,55,"“Nursing student Brian Thomas never imagined his on-the-job education would transform into fighting on the very front lines of the COVID-19 pandemic, or that he would be forced to take extreme safety precautions each time he arrived home from his internship...” - Mark S. King https://twitter.com/MyFabDisease/status/1244985431420272640 …",,,,1245138807751618561,https://twitter.com/BrianSimsPA/status/1245138807751618561
2020-03-31 23:59:57,GovPhilScott,,1,3,25,"As we prepare for a surge in COVID-19 cases expected in the coming weeks, it will require each of us to do our part to ease the burden on our health care system, the struggles of those less fortunate, and, ultimately, to save the lives of our friends and neighbors. 2/15",,,,1245138798327074817,https://twitter.com/GovPhilScott/status/1245138798327074817
2020-03-31 23:59:57,GovPhilScott,,28,99,183,"THREAD: Today, I’m calling all Vermonters into service with the launch of a new website allowing people to sign up for volunteer assistance to support our response to COVID-19. I’m asking every Vermonter to dig deep and find a way to help. #vtpoli 1/15 https://vermont.gov/volunteer .",,,#vtpoli,1245138797467176960,https://twitter.com/GovPhilScott/status/1245138797467176960
2020-03-31 23:59:52,Van_rito_Ullij,,1,5,3,"Nano Research for COVID-19 https://pubs.acs.org/doi/10.1021/acsnano.0c02540#… ""The nanotechnology community can contribute significantly in the fight against COVID-19. Nanomaterials have been used for the development of point-of-care diagnostics, carriers for therapeutics, and vaccine development.",,,#,1245138777800146945,https://twitter.com/Van_rito_Ullij/status/1245138777800146945
2020-03-31 23:59:40,leslieberland,,113,165,3429,"My brother is a cardiologist, now full time COVID doctor. My parents are older so we’re worried about them. Didn’t fully realize how worried they are about my brother. All they asked from him is a “k.” This text pic.twitter.com/KA4qneIVnQ",,,,1245138725752971265,https://twitter.com/leslieberland/status/1245138725752971265
2020-03-31 23:59:34,gonya_lado,,2,46,196,"Me trying to stay calm during covid-19 and that fucking earthquake pic.twitter.com/03A6MncnuG",,,,1245138702378004482,https://twitter.com/gonya_lado/status/1245138702378004482
2020-03-31 23:59:22,mefeater,,11,244,842,"Drake with an important announcement about the coronavirus pic.twitter.com/ooU4y7MrA1",,,,1245138650662395905,https://twitter.com/mefeater/status/1245138650662395905
2020-03-31 23:59:22,SenWarren,,79,372,1598,"I'm heartsick for everyone we've lost to coronavirus in Massachusetts & across the country – but the outbreak at Soldiers’ Home is especially devastating. I'll work with @RepRichardNeal to find out what happened & how we can protect these veterans.https://www.wwlp.com/news/local-news/hampden-county/holyoke-soldiers-home-superintendent-placed-on-leave-effective-immediately/ …",,@RepRichardNeal,,1245138650377138177,https://twitter.com/SenWarren/status/1245138650377138177
2020-03-31 23:59:17,UArizonaPres,,0,12,35,"Thank you to Provost Liesl Folks @UAZProvost for joining me for a great Q&A session covering @uarizona's response to COVID-19. Full video at the link below. https://youtu.be/5irFlTCTP3Q pic.twitter.com/dDBjWM2wYj",,@UAZProvost @uarizona,,1245138630617608193,https://twitter.com/UArizonaPres/status/1245138630617608193
2020-03-31 23:59:11,bennyborremans,wormmaps,1,3,15,"Can wildlife virus discovery programs like the re-started PREDICT project help to prevent outbreaks like COVID-19? Unlikely. And they shouldn't overstate their potential. But such programs do provide important data and insights. Balanced take in this thread and perspective piece. https://twitter.com/wormmaps/status/1245126072338976768 …",,,,1245138603698577408,https://twitter.com/bennyborremans/status/1245138603698577408
2020-03-31 23:59:10,jean__hardy,annehelen,8,88,256,"Phenomenal piece on a pretty bad and unique side effect of COVID-19 in rural communities. I've got a couple quotes in the article on insider/outsider tensions and what I call ""disaster gentrification,"" where rural communities are seen as a place of respite during crises. https://twitter.com/annehelen/status/1245073990651006976 …",,,,1245138601102520327,https://twitter.com/jean__hardy/status/1245138601102520327
